"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAGA4","Haga","17.000","1,18","-0,84%"
"TASA3","Taurus","16.200","13,08","+1,40%"
"UNIP3","Unipar","14.300","56,65","-5,24%"
"CLSC4","Celesc","12.100","67,41","-1,14%"
"OSXB3","OSX Brasil","11.100","4,12","+1,23%"
"COCE5","Coelce","11.000","35,51","+2,96%"
"CEBR6","CEB","8.900","20,90","-1,32%"
"IGTI3","Jereissati Participações","7.900","2,97","-1,00%"
"IGTI3","Iguatemi","7.900","2,97","-1,00%"
"APER3","Alper","7.600","44,83","+0,02%"
"BRSR3","Banrisul","6.400","12,40","+0,40%"
"EALT4","Electro Aço Altona","6.200","10,10","+0,10%"
"PLAS3","Plascar","6.200","6,59","-9,73%"
"BEES3","Banestes","5.600","8,80","-0,11%"
"BPAC5","Banco BTG Pactual","5.500","8,18","-0,73%"
"ENGI4","Energisa","4.800","7,90","+1,41%"
"ATMP3","Atma","4.700","2,00","-1,96%"
"CGRA3","Grazziotin","4.300","26,41","+0,04%"
"FIEI3","Fica","3.800","9,95","-0,50%"
"MAPT4","Cemepe","3.800","9,09","-8,18%"
"BAZA3","Banco da Amazônia","3.700","98,88","-1,12%"
"CRPG5","Tronox Pigmentos","3.400","31,04","+1,84%"
"SCAR3","São Carlos","3.300","25,37","+1,52%"
"CTKA4","Karsten","3.300","18,45","-5,38%"
"BPAC3","Banco BTG Pactual","3.300","16,17","-0,19%"
"RPMG3","Refinaria de Manguinhos","3.300","2,09","+3,47%"
"BRKM3","Braskem","3.200","21,66","+0,28%"
"CEBR3","CEB","2.700","21,44","+1,08%"
"MNPR3","Minupar","2.300","18,97","+5,39%"
"BMEB4","Banco Mercantil do Brasil","2.200","22,40","+0,04%"
"VSTE3","LE LIS BLANC","2.200","14,01","-6,60%"
"MTSA4","METISA","1.900","48,47","-0,55%"
"CTNM4","Coteminas","1.900","1,09","+0,93%"
"CGRA4","Grazziotin","1.800","26,60","-0,56%"
"ENGI3","Energisa","1.800","14,75","+1,17%"
"FHER3","Fertilizantes Heringer","1.800","5,05","-0,20%"
"BEES4","Banestes","1.700","9,60","+0,84%"
"WHRL3","Whirlpool","1.700","4,69","-0,85%"
"CEBR5","CEB","1.600","19,63","-0,10%"
"AVLL3","Alphaville","1.600","3,52","-7,12%"
"EPAR3","Embpar Participações","1.500","7,50","+1,35%"
"WHRL4","Whirlpool","1.500","4,65","+0,00%"
"NEXP3","Brasil Brokers","1.500","4,20","+0,00%"
"RDNI3","RNI","1.400","3,59","+1,13%"
"PINE3","PINE","1.300","6,37","+0,00%"
"CTSA3","Santanense","1.300","2,67","+6,37%"
"MGEL4","Mangels","1.100","17,51","-2,67%"
"NORD3","Nordon","1.100","8,60","-4,23%"
"PTNT4","Pettenati","1.100","7,45","+0,54%"
"REDE3","Rede Energia","1.100","7,00","+2,04%"
"CEEB3","COELBA","1.000","38,43","+0,00%"
"CRPG6","Tronox Pigmentos","1.000","29,95","-0,23%"
"CEDO3","Cedro Têxtil","900","32,50","+0,00%"
"RPAD3","Alfa Holdings","900","8,48","+0,59%"
"TRPL3","Transmissão Paulista","800","33,40","+0,54%"
"SNSY3","Sansuy","800","10,80","+2,86%"
"WLMM4","WLM","700","29,30","+0,34%"
"ALPA3","Alpargatas","700","9,12","+3,64%"
"BDLL4","Bardella","600","9,60","+5,26%"
"IGTI4","Iguatemi","600","8,86","+0,23%"
"IGTI4","Jereissati Participações","600","8,86","+0,23%"
"EQMA3B","Equatorial Maranhão","500","29,50","+0,00%"
"PTNT3","Pettenati","500","9,80","-0,31%"
"CGAS5","Comgás","400","114,50","+1,33%"
"MNDL3","Mundial","400","46,69","+6,11%"
"BGIP4","Banese","400","22,61","+0,00%"
"TELB4","Telebras","400","9,38","-2,09%"
"BNBR3","Banco do Nordeste","300","100,00","+0,00%"
"ENMT4","Energisa MT","300","79,99","-0,01%"
"HBTS5","Habitasul","300","42,00","+5,00%"
"BGIP3","Banese","300","25,00","-3,85%"
"BDLL3","Bardella","300","12,01","+0,00%"
"BAHI3","Bahema","300","8,91","+0,00%"
"CTNM3","Coteminas","300","8,65","-1,48%"
"HETA4","Hercules","300","6,39","+5,62%"
"SNSY5","Sansuy","300","6,34","+0,00%"
"BMKS3","Monark","206","434,98","+6,09%"
"MOAR3","Monteiro Aranha","200","380,98","-3,79%"
"RSUL4","Metalúrgica Riosulense","200","77,90","+3,10%"
"EKTR4","Elektro","200","40,30","+0,02%"
"GEPA4","Rio Paranapanema Energia","200","27,00","+1,47%"
"DEXP4","Dexxos","200","10,54","+0,00%"
"EQPA3","Equatorial Energia Pará","200","8,13","+0,87%"
"CGAS3","Comgás","100","115,00","+0,00%"
"ELET5","Eletrobras","100","99,00","+0,00%"
"BMEB3","Banco Mercantil do Brasil","100","23,25","+0,00%"
"EUCA3","Eucatex","100","16,45","+0,00%"
"BRSR5","Banrisul","100","15,80","+3,54%"
"FESA3","Ferbasa","100","15,49","+3,47%"
"BMIN4","Banco Mercantil de Investimentos","100","14,90","-1,32%"
"BSLI4","Banco de Brasília","100","10,09","-1,75%"
"DOHL4","Döhler","100","4,49","+1,13%"
"HAGA3","Haga","100","2,50","+0,00%"
"MAPT3","Cemepe","500","7,00","-6,91%"
"GEPA3","Rio Paranapanema Energia","200","28,00","+0,00%"
"CSRN3","COSERN","200","24,50","+2,08%"
"JOPA3","Josapar","200","21,33","+0,00%"
"HOOT4","Hotéis Othon","200","2,78","-0,71%"
"TELB3","Telebras","100","13,98","+1,30%"
"DMFN3","DM Financeira","100","12,50","+0,00%"
"BALM3","Baumer","100","12,00","+0,00%"
"RPAD5","Alfa Holdings","100","8,30","-1,19%"
"FRTA3","Pomi Frutas","2.000","1,31","-0,76%"
"CEDO4","Cedro Têxtil","800","27,49","+0,92%"
"AFLT3","Afluente T","600","7,56","+0,00%"
"TEKA3","Teka","500","50,00","+0,00%"
"BAUH4","Excelsior","300","78,78","+0,01%"
"ENMT3","Energisa MT","100","76,00","+5,26%"
"CALI3","Adolpho Lindenberg","100","28,38","-2,14%"
"EALT3","Electro Aço Altona","100","9,88","+0,00%"
"RPAD6","Alfa Holdings","100","8,48","+0,59%"
"DTCY3","Dtcom","100","4,70","+0,00%"
"PEAB3","Participações Aliança da Bahia","1.500","45,00","+12,64%"
"PEAB4","Participações Aliança da Bahia","1.400","49,59","+9,57%"
"ESTR4","Estrela","1.000","2,09","-0,48%"
"UNIP5","Unipar","200","64,01","-1,69%"
"AHEB6","São Paulo Turismo","100","20,00","+17,51%"
"AHEB3","São Paulo Turismo","100","19,00","+0,00%"
"BSLI3","Banco de Brasília","100","9,91","+7,14%"
"MWET4","Wetzel","100","5,29","+1,15%"
"LIPR3","Eletropar","500","50,00","-3,66%"
"CPLE5","Copel","200","19,91","+0,00%"
"CSRN6","COSERN","100","22,96","-4,33%"
"CBEE3","Ampla Energia","100","11,80","-1,17%"
"MERC4","Mercantil do Brasil Financeira","100","7,71","+2,80%"
"CLSC3","Celesc","600","68,40","+2,87%"
"SOND5","Sondotécnica","100","55,31","+1,21%"
"GSHP3","General Shopping & Outlets","100","10,80","+0,00%"
"SOND6","Sondotécnica","200","60,00","+3,48%"
"CSRN5","COSERN","100","26,00","+6,56%"
"CEED4","CEEE D","100","25,00","+0,00%"
"MWET3","Wetzel","100","11,11","-16,47%"
"BALM4","Baumer","200","10,49","+0,00%"
"DOHL3","Döhler","100","6,44","-0,46%"
"MRSA6B","MRS Logística","200","26,06","+0,00%"
"USIM6","Usiminas","200","15,00","-11,24%"
"EKTR3","Elektro","100","45,35","-9,30%"
"MRSA5B","MRS Logística","100","26,06","+0,00%"
"MRSA3B","MRS Logística","400","28,00","+0,00%"
"LUXM4","Trevisa","200","15,70","+0,06%"
"EMAE3","EMAE","100","70,00","+16,65%"
"CTKA3","Karsten","300","19,00","-5,00%"
"FRIO3","Metalfrio","200","301,00","-0,33%"
"TKNO4","Tekno","100","68,00","-1,43%"
"BRIV4","Alfa Investimento","700","12,54","+0,08%"
"CRIV4","Alfa Financeira","90.000","6,74","+0,15%"
"CRPG3","Tronox Pigmentos","500","33,80","-4,79%"
"BRGE3","Consórcio Alfa","100","13,50","+0,00%"
"BRIV3","Alfa Investimento","3.000","12,86","+0,23%"
"BRGE6","Consórcio Alfa","400","12,92","+0,16%"
"PATI3","Panatlântica","100","29,90","+7,94%"
"EQPA6","Equatorial Energia Pará","600","9,00","+0,00%"
"CRIV3","Alfa Financeira","300","6,98","+0,14%"
"BRKM6","Braskem","100","15,18","-5,07%"
"BRGE12","Consórcio Alfa","100","13,47","-0,88%"
"BRGE11","Consórcio Alfa","300","13,18","+0,08%"
"GPAR3","CELGPAR","100","47,50","+11,06%"
"PATI4","Panatlântica","300","33,00","+3,12%"
"TEKA4","Teka","700","40,95","+2,38%"
"MSPA4","Melhoramentos","2.100","37,00","-2,63%"
"WLMM3","WLM","200","22,81","-6,32%"
"EQPA7","Equatorial Energia Pará","8.000","7,51","+0,00%"
"BRGE5","Consórcio Alfa","100","13,18","+0,08%"
"BRGE8","Consórcio Alfa","400","13,17","+12,95%"
"MSPA3","Melhoramentos","100","43,00","+0,00%"
"CEEB5","COELBA","100","36,86","+0,03%"
"BRGE7","Consórcio Alfa","500","13,07","-3,54%"
"EQPA5","Equatorial Energia Pará","100","7,50","+0,00%"
"JOPA4","Josapar","200","35,00","+3,55%"
"BMIN3","Banco Mercantil de Investimentos","100","20,01","+0,00%"
"COCE3","Coelce","100","50,99","+8,49%"
"CEGR3","Naturgy (CEG)","300","68,00","-20,00%"
"ESTR3","Estrela","200","7,60","-5,00%"
"AHEB5","São Paulo Turismo","100","16,61","+0,00%"
"CEED3","CEEE D","100","22,90","-5,68%"
"CSAB3","Cia. de Seg. Aliança da Bahia","100","30,50","-1,61%"
"CSAB4","Cia. de Seg. Aliança da Bahia","1.600","48,97","+19,47%"
"MEGA3","OMEGA ENERGIA S.A.","2.220.100","9,62","+1,48%"
"SQIA3","Sinqia","1.444.800","27,37","-0,29%"
"ALSO3","Aliansce Sonae","5.883.300","23,33","+2,06%"
"BRPR3","BR Properties","10.600","131,17","+2,48%"
"MTSA3","METISA","100","79,00","+2,60%"
"SLED4","Saraiva","64.300","1,60","-1,84%"
"SLED3","Saraiva","3.000","3,21","-0,31%"
"VIIA3","VIIA3","213.149.200","0,75","+2,74%"
"ENBR3","EDP Brasil","1.697.900","24,08","+0,12%"
"BOAS3","Boa Vista","23.239.000","7,95","-0,38%"
"MODL3","Banco Modal","16.688.000","3,08","+0,33%"
"MERC3","Mercantil do Brasil Financeira","51.500","15,28","+1,13%"
"CRDE3","CRDE3","400","16,00","+0,00%"
"IGBR3","IGB Eletrônica","700","175,99","+1,14%"
"ODER4","Conservas Oderich","100","100,00","+12,35%"
"PARD3","Hermes Pardini","1.861.800","18,10","+1,29%"
"CASN3","CASAN","100","10,43","-18,39%"
"WIZS3","WIZS3","779.400","7,16","+1,99%"
"LLIS3","LLIS3","249.800","1,73","+2,98%"
"BRML3","BRMalls","16.132.900","8,26","+2,35%"
"DMMO3","Dommo Energia","3.254.800","1,76","-1,12%"
"GETT3","Getnet","46.500","2,40","+1,27%"
"GETT4","Getnet","18.500","2,40","+1,27%"
"SULA4","SulAmérica","18.600","7,63","+5,53%"
"SULA3","SulAmérica","4.000","7,43","+1,50%"
"CEPE5","CELPE","100","40,12","+0,02%"
"TCNO4","Tecnosolo","36.800","0,85","-9,57%"
"TCNO3","Tecnosolo","3.400","1,20","-1,64%"
"CEPE6","CELPE","100","43,00","+6,17%"
"BKBR3","BKBR3","782.300","7,63","+0,26%"
"MTIG4","Metalgráfica Iguaçu","100","23,00","+0,00%"
"BLUT4","Blue Tech Solutions","171.100","1,52","-5,59%"
"BLUT3","Blue Tech Solutions","13.400","5,14","+0,59%"
"MODL4","Banco Modal","700","2,72","-2,16%"
"CARD3","CARD3","118.000","14,51","+1,82%"
"SHUL3","Schulz","100","27,94","-50,12%"
"FIGE3","Investimentos Bemge","100","12,03","+99,83%"
"FNCN3","FNCN3","4.800","14,25","-0,35%"
"HETA3","Hercules","200","96,00","+0,00%"
"LCAM3","Locamerica","26.118.900","24,15","+1,86%"
"BIDI4","Banco Inter","52.479.800","3,41","-2,01%"
"BIDI3","Banco Inter","15.262.400","3,40","-2,58%"
"EEEL4","CEEE GT","100","410,00","-2,88%"
"EEEL3","CEEE GT","400","421,01","+5,25%"
"BBRK3","BBRK3","1.279.600","0,80","+1,27%"
"SOND3","Sondotécnica","200","46,01","+14,45%"
"CESP6","CESP","9.306.600","25,25","+1,41%"
"CESP3","CESP","11.500","25,55","+1,71%"
"CESP5","CESP","300","25,00","+2,75%"
"ECPR4","Encorpar","100","90,74","+0,42%"
"MOSI3","Mosaico","1.021.200","8,24","+3,00%"
"POWE3","Focus Energia","678.000","10,90","-2,24%"
"ECPR3","Encorpar","300","90,25","+12,97%"
"GNDI3","NotreDame Intermédica","33.458.600","65,34","+0,00%"
"LAME4","Lojas Americanas","43.631.000","6,55","+2,02%"
"LAME3","Lojas Americanas","10.941.100","6,62","+2,95%"
"OMGE3","Omega Geração","834.900","27,57","-0,86%"
"IGTA3","IGTA3","1.643.400","33,13","+0,18%"
"JPSA3","JPSA3","100.100","29,02","+1,75%"
"BRDT3","BRDT3","24.483.500","22,03","-5,17%"
"JBDU4","JBDU4","2.556.100","1,36","+3,82%"
"JBDU3","JBDU3","1.890.100","3,12","+9,09%"
"HGTX3","Hering","7.519.800","37,50","-2,65%"
"CCPR3","CCPR3","328.200","10,16","-4,51%"
"DTEX3","DTEX3","2.867.800","20,63","-3,10%"
"VVAR3","VVAR3","64.987.000","11,30","-6,38%"
"PNVL4","Dimed","2.000","18,62","-2,67%"
"TESA3","Terra Santa","41.100","48,00","-2,74%"
"BTOW3","BTOW3","11.169.600","68,00","+4,15%"
"LINX3","Linx","8.510.000","37,40","-0,27%"
"BTTL3","BTTL3","6.100","19,72","-2,33%"
"GPCP3","GPCP3","698.100","49,00","-3,92%"
"GPCP4","GPCP4","5.300","45,51","-1,30%"
"SMLS3","Smiles","1.944.100","22,40","-1,71%"
"MMXM3","MMX Mineração","1.240.300","14,00","-30,35%"
"BSEV3","Biosev","528.800","9,00","+8,43%"
"CNTO3","CNTO3","2.083.600","28,08","+4,78%"
"TIET4","AES Tietê Energia","323.700","3,51","+1,15%"
"TIET3","AES Tietê Energia","169.100","3,49","+0,87%"
"CORR4","Corrêa Ribeiro","100","82,00","+18,84%"
"CEPE3","CELPE","1.300","128,00","+85,32%"
"CALI4","Adolpho Lindenberg","100","50,00","+4,17%"
"SNSY6","Sansuy","100","11,51","+4,64%"
"CASN4","CASAN","100","10,00","-16,67%"
"BPAR3","Banpará","100","182,07","+20,58%"
"APTI4","Aliperti","200","3.500,00","-61,96%"
"VSPT3","FCA","1.000.000","4.999.999,50","+114,29%"
"MTIG3","Metalgráfica Iguaçu","400","156,30","+29,60%"
"FIGE4","Investimentos Bemge","100","38,01","-4,97%"
"LUXM3","Trevisa","200","2,50","+8,23%"
"TKNO3","Tekno","100","85,79","+10,64%"
"COCE6","Coelce","100","35,00","+16,63%"
"MGEL3","Mangels","100","75,00","+8,70%"
"CTSA8","Santanense","2.000","1,00","+0,00%"
"MMAQ4","Minasmáquinas","14","200,06","-28,55%"
